StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.2,Q1.3_First.Click,Q1.3_Last.Click,Q1.3_Page.Submit,Q1.3_Click.Count,Q1.4_Browser,Q1.4_Version,Q1.4_Operating.System,Q1.4_Resolution,Q2.2,Q2.2_3_TEXT,Q162,Q161_1,Q161_2,Q161_3,Q161_4,Q161_5,Q161_6,Q161_7,Q161_9,Q161_8,Q161_0,Q161_0_TEXT,Q153,Q144,Q144_0_TEXT,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3,Q2.9_1,Q2.9_2,Q2.9_3,Q2.9_4,Q2.9_5,Q2.9_6,Q2.9_7,Q2.9_8,Q2.9_9,Q2.9_9_TEXT,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,Q3.4_7,Q171,Q3.7_9,Q3.7_1,Q3.7_2,Q3.7_3,Q3.7_4,Q3.7_5,Q3.7_6,Q3.7_7,Q3.7_8,Q3.7_0,Q3.7_0_TEXT,Q3.6_1,Q3.6_2,Q3.6_3,Q3.6_4,Q3.6_5,Q3.6_6,Q3.6_7,Q4.2,Q157_6,Q157_1,Q157_3,Q157_2,Q157_100,Q157_0,Q157_0_TEXT,Q160_6,Q160_1,Q160_3,Q160_101,Q160_2,Q160_100,Q160_0,Q160_0_TEXT,Q4.7,Q4.7_0_TEXT,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_0,Q4.6_7_TEXT,Q4.6_0_TEXT,Q175,Q4.10,Q4.3,Q4.3_0_TEXT,Q4.4,Q164,Q165,Q167_1,Q167_2,Q167_3,Q167_6,Q167_4,Q167_0,Q167_4_TEXT,Q167_0_TEXT,Q169_1,Q169_2,Q169_3,Q169_4,Q169_5,Q169_6,Q169_7,Q6.3,Q170_1,Q170_2,Q170_3,Q170_4,Q170_5,Q170_6,Q170_7,Q6.5,Q3.8,Q3.8_0_TEXT,Q159_1,Q159_2,Q159_3,Q159_4,Q159_5,Q159_8,Q159_9,Q159_6,Q159_7,Q159_10,Q2.3,Q2.4,Q8.2_1,Q8.2_2,Q8.2_3,Q8.2_4,Q8.2_5,Q8.2_6,Q8.2_7,Q8.2_8,Q8.2_9,Q5.1_1,Q5.1_2,Q5.1_3,Q5.1_4,Q5.1_5,Q5.1_6,Q5.1_7,Q10.1_1,Q10.1_2,Q10.1_3,Q10.1_4,Q10.1_5,Q11.2,Q11.3,Q11.3_0_TEXT,Q11.4_1,Q11.4_2,Q11.4_3,Q11.4_4,Q11.4_5,Q11.4_6,Q11.4_0,Q11.4_8,Q11.4_0_TEXT,Q11.5,Q11.5_0_TEXT,Q11.7_1,Q11.7_2,Q11.7_3,Q11.7_4,Q11.7_5,Q11.7_6,Q11.7_7,Q11.7_8,Q11.7_0,Q11.7_9,Q11.7_0_TEXT,Q11.8,Q11.9,Q11.10,Q11.11,Q11.12,Q11.13,Q11.13_0_TEXT,Q12.1,rand,Q4.2...Parent.Topics,Q4.2...Topics,Q11.13_7_TEXT...Parent.Topics,Q11.13_7_TEXT...Topics,Participant ID
07/11/20 23:38,07/11/20 23:49,IP Address,100,641,TRUE,07/11/20 23:49,R_3oGYxsyLD6YQjdS,NA,NA,NA,NA,anonymous,EN,0.7,I will provide my best answers.,4.498,4.498,6.962,1,Safari iPhone,14,iPhone,414x896,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 1 hour,NA,Sometimes,7,0,0,0,0,NA,Few times a day,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bed bath and beyond,NA,NA,NA,NA,NA,NA,NA,NA,Notification center,Banner (permanently),NA,NA,NA,NA,NA,within an hour,NA,NA,Read the notification content,NA,Cleared it from the notification center/ drawer,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,N/A,NA,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,N/A,NA,Translate,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,NA,When unlocked,When unlocked,Notification disabled,Always,Notification disabled,When unlocked,When unlocked,When unlocked,Never,N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,1970,Female,NA,American Indian or Native American,NA,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturing,NA,"$40,000 to $49,999",More than 10 or All my life,5,Married,NA,No,7.32E+11,NA,Unknown,NA,NA,1
07/11/20 23:53,07/11/20 23:59,IP Address,100,400,TRUE,07/11/20 23:59,R_0JTYIRp21Qj4fux,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,7.497,7.497,12.151,1,Chrome,86.0.4240.183,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 3 hours,NA,Most of the time,0,1,0,0,2,NA,Few times a week,Few times a month,Never,Never,Never,NA,Never,Never,Never,NA,Once a day,Never,Never,Never,Never,Never,Never,NA,NA,NA,Close running applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gmail,Lock Screen,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,Read the notification preview (title),Read the notification content,NA,Cleared it from the notification center/ drawer,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Somwhat concerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,NA,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,NA,Translate,NA,NA,NA,NA,NA,Banking and payments,NA,NA,Apps for work,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1982,Male,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$90,000 to $99,999",More than 10 or All my life,3,Married,NA,NA,5.38E+11,NA,Unknown,NA,NA,2
07/11/20 23:53,08/11/20 0:01,IP Address,100,490,TRUE,08/11/20 0:01,R_264Nn2PPnvjxaAW,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,4.125,4.125,5.078,1,Chrome,86.0.4240.183,Windows NT 10.0,1360x768,Android,NA,Yes,NA,NA,NA,Friends,NA,NA,NA,NA,NA,NA,NA,20 -29,Once in about 5 minutes,NA,Always,0,24,0,0,0,NA,Few times a day,Few times a day,Few times a week,Once a day,Few times a day,NA,Few times a day,Once a day,Few times a week,NA,Once a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,NA,Check all the applications used by the person,NA,NA,Sometimes,Never,Never,Never,Always,N/A,N/A,INSTAGRAM,Lock Screen,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,Yes,NA,Extremely concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Neither concerned nor unconcerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,I PROVIDE THE MY BEST ANSWER,Extremely concerned,Neither concerned nor unconcerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,I PROVIDE THE MY BEST ANSWER,Translate,NA,Instant messaging,Social media,NA,E-mail,Banking and payments,NA,NA,Apps for work,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Rather agree,Agree,Agree,Rather agree,1991,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INFORMATION TECHNOLOGY,NA,"$60,000 to $69,999",More than 10 or All my life,2,Married,NA,NICE STUDY AND THANKS FOR THE OPPORTUNITY,9.72E+11,NA,Unknown,NA,NA,3
07/11/20 23:59,08/11/20 0:13,IP Address,100,883,TRUE,08/11/20 0:13,R_3LisERowfVplQr2,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,3.52,3.52,8.49,1,Chrome,86.0.4240.183,Windows NT 10.0,1366x768,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,01-Sep,Once in about 15 minutes,NA,Most of the time,0,0,0,0,0,I like to hear all my notifications and calls.,Never,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,My phone is only used by myself.,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gmail,NA,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,NA,Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Somewhat unconcerned,"It was only a work email, nothing sensitive.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat concerned,Somwhat concerned,Completely unconcerned,N/A,Most of my notifications aren't sensitive in nature.,Somwhat concerned,Somwhat concerned,Completely unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,N/A,My work and personal life do not need to see each other.,Translate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1984,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical Support,NA,"$30,000 to $39,999",More than 10 or All my life,3,Never Married,NA,Thanks for the opportunity.,8.33E+11,NA,Unknown,NA,NA,4
08/11/20 0:24,08/11/20 0:46,IP Address,100,1345,TRUE,08/11/20 0:46,R_3RaYlXONlpLqOsx,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,1.029,3.4,4.723,4,Safari iPhone,14,iPhone,375x812,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 15 minutes,NA,Always,0,0,2,1,0,I only turn off to restart and airplane mode if I need to “reset “ my phone but besides that I don’t do any of th above.,Few times a day,Never,Never,Never,Never,NA,Never,Never,Never,NA,Multiple times a day,N/A,N/A,Multiple times a day,N/A,N/A,N/A,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Messages,NA,NA,NA,NA,NA,NA,NA,Lock Screen,Notification center,NA,Banner (temporarily),NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,I have nothing to hide and nothing private on my phone,Yes,NA,Not at all concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,Translate,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,NA,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree",1989,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Front desk supervisor,NA,"$10,000 to $19,999",More than 10 or All my life,3,Never Married,NA,NA,3.64E+11,NA,Unknown,NA,NA,5
08/11/20 3:05,08/11/20 3:17,IP Address,100,733,TRUE,08/11/20 3:17,R_29rWHIhlU3tqD8w,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,3.165,3.165,4.521,1,Chrome,86.0.4240.183,Macintosh,2880x1620,iOS (iPhone),NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,Oct-19,Once in about 15 minutes,NA,About half the time,0,8,0,0,24,NA,Never,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNN,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,Banner (permanently),NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,Cleared it from the notification center/ drawer,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,N/A,NA,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,N/A,NA,Translate,NA,NA,NA,NA,E-mail,Banking and payments,NA,NA,NA,NA,NA,NA,Never,Never,Always,Always,Never,Never,Always,Always,Never,N/A,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,1976,Male,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research scientist,NA,"More than $100,000",More than 10 or All my life,3,Married,NA,none,7.38E+11,NA,Unknown,NA,NA,6
09/11/20 0:06,09/11/20 0:21,IP Address,100,860,TRUE,09/11/20 0:21,R_1NmLYh33Dv4O4Qk,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,2.038,2.038,6.137,1,Chrome,86.0.4240.183,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,Spouse,NA,NA,Children older than 13,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 1 hour,NA,Always,3,2,6,3,7,good work,Few times a day,Once a day,Once a day,Few times a day,Few times a week,NA,Few times a day,Once a day,Once a day,NA,Multiple times a day,Few times a day,Once a day,Once a day,Multiple times a week,Once a day,Few times a day,useing very easy smardphone,NA,NA,NA,NA,Enable guest mode or second space,NA,NA,Watch over the other person's use of the phone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whatsPP,NA,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,GOOD READING IN THE APPLICATIONS,Yes,NA,Extremely concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,UESING SOCIAL MEDIA AND EMAIL HEATH CONDITION EXPLAN,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,"ach firm's DSBS profile has two fields relevant to HUBZone certification. ... This includes documents that you uploaded to SBA as part of the application ... Your firm's profile will reflect whether you are HUBZone certified and if so, the date that ... For more information read the FAQs in the “Who is Considered an Employee",Translate,NA,NA,NA,NA,NA,NA,NA,NA,Apps for work,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Rather agree,Agree,Agree,Agree,1984,Male,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Master's degree,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANAGER,NA,"$70,000 to $79,999",More than 10 or All my life,6,Married,NA,VERY LIKE IN THE SURVRY,9.00E+11,NA,Unknown,NA,NA,7
09/11/20 2:47,09/11/20 2:58,IP Address,100,654,TRUE,09/11/20 2:58,R_2uQjyQq5b0TCC5r,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,4.507,4.507,5.41,1,Chrome,86.0.4240.183,Windows NT 10.0,1600x900,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 1 hour,NA,Always,0,24,0,0,0,I have my phone set to silent mode due to my job as I am in court a lot and I dont want to be the one that has my phone go off in front of a packed court so I leave it in silent mode all the time.,Few times a month,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Less than once a week,Never,Never,Never,Everyone has their own device(s) so there is no need to lend mine to anyone unless i want them to read something on my screen or watch a video i am playing,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imessage,NA,NA,NA,NA,NA,NA,NA,Lock Screen,Notification center,NA,Banner (temporarily),NA,NA,NA,NA,within a minute,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,i am not a CIA spy so i dont worry about what is sent to my phone,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,sometimes i get sensitive emails that i cant let co-workers read that might be work related,Translate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Rather agree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,1981,Male,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probation officer,NA,"More than $100,000",More than 10 or All my life,6,Married,NA,NA,9.78E+11,NA,Unknown,NA,NA,8
09/11/20 11:33,09/11/20 11:44,IP Address,100,679,TRUE,09/11/20 11:44,R_3fjztyIRUGa662c,NA,NA,NA,NA,anonymous,EN,0.9,I will provide my best answers.,16.021,16.021,17.836,1,Chrome,86.0.4240.183,Windows NT 10.0,1280x720,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,01-Sep,Once in about 15 minutes,NA,Always,0,8,2,8,0,NA,Few times a day,Few times a month,Few times a month,Few times a month,Few times a week,NA,Few times a week,Never,Once a day,car,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whats app,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NA,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NA,Translate,NA,NA,Social media,NA,NA,Banking and payments,NA,Dating,NA,Travel and navigation,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Neither disagree, neither agree",Rather disagree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1992,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asst manager,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,n/a,5.51E+11,NA,NA,NA,NA,9
11/11/20 3:57,11/11/20 4:04,IP Address,100,448,TRUE,11/11/20 4:04,R_1nZ87IV8Ys7Bnvd,NA,NA,NA,NA,anonymous,EN,0.1,I will provide my best answers.,0,0,4.777,0,Edge,84.0.522.52,Windows NT 10.0,1536x864,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,01-Sep,Once in about 1 hour,NA,Always,0,12,0,0,0,I generally have my phone on silent for the 8 hours I sleep at night and then for at least about 4 hours in the evening when spending time with the family.,Few times a day,Never,Never,Never,Never,Few times a month,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,The only person I would ever share my phone with is my spouse and children and they all have their own phones.,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Email,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,N/A,I really don't have anything that is sensitive coming across at any time I would not anyone to view it.  I put NA for dating as I don't use those apps.  Email I'm not concerned because I turn my work email notifications off after work and only have my personal which I use rarely.  Banking I put neither concerned or unconcerned.  This is because banking is a grey area.  I've never had anything pop up with any sensitive information so as of right now it is an unknown but i do use a banking app.,Somwhat concerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,Completely unconcerned,N/A,Banking info is always a concern if someone else is reading it.  Instant messaging I'd say I'm somewhat concerned as I don't know what is coming across in a message until I read it.  I can't control what information a family member may send me over messaging.,Translate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,Always,Always,Always,Always,Always,Always,Always,Always,N/A,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,1980,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,High school diploma,NA,Employed full time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical Support,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,No,7.44E+11,NA,NA,NA,NA,10
